name,Ea_Wm2,Ed_Wm2,El_Wm2,Epro_Wm2,Ev_kWveh,Occ_m2p,Qcpro_Wm2,Qcre_Wm2,Qhpro_Wm2,Qs_Wp,Vw_ldp,Vww_ldp,X_ghp
B1000,7.0,0,15.9,0.0,0,14.0,0,0,0,70.0,60,3,80.0
B1001,7.0,0,15.9,0.0,0,14.0,0,0,0,70.0,60,3,80.0
B1002,7.0,0,15.9,0.0,0,14.0,0,0,0,70.0,60,3,80.0
B1003,7.0,0,15.9,0.0,0,14.0,0,0,0,70.0,60,3,80.0
B1004,7.0,0,15.9,0.0,0,14.0,0,0,0,70.0,60,3,80.0
B1005,7.0,0,15.9,0.0,0,14.0,0,0,0,70.0,60,3,80.0
B1006,7.0,0,15.9,0.0,0,14.0,0,0,0,70.0,60,3,80.0
B1007,7.0,0,15.9,0.0,0,14.0,0,0,0,70.0,60,3,80.0
B1008,7.0,0,15.9,0.0,0,14.0,0,0,0,70.0,60,3,80.0
B1009,10.0,0,10.8,16.5,0,15.0,0,0,150,90.0,60,3,170.0
B1010,2.0,0,6.9,0.0,0,2.0,0,0,0,70.0,45,15,80.0
B1011,3.5,50,11.25,0.0,0,7.0,0,0,0,70.0,60,3,80.0
B1012,10.2,0,14.94,6.6,0,14.4,0,0,30,73.8356164384,60,3,97.2602739726
B1013,7.0,0,15.9,0.0,0,14.0,0,0,0,70.0,60,3,80.0
B1014,1.2,0,3.7,0.0,0,0.4,0,0,0,70.0,45,15,80.0
