hour,processes,electromobility,heating,occupancy,servers,hot_water,cooling,lighting,appliances
Weekday_00,0.61,0,SETBACK,0.04,0,0.04,OFF,0.14,0.16
Weekday_01,0.61,0,SETBACK,0.04,0,0.04,OFF,0.14,0.16
Weekday_02,0.61,0,SETBACK,0.04,0,0.04,OFF,0.14,0.16
Weekday_03,0.61,0,SETBACK,0.04,0,0.04,OFF,0.14,0.16
Weekday_04,0.61,0,SETBACK,0.04,0,0.04,OFF,0.14,0.16
Weekday_05,0.61,0,SETBACK,0.1,0,0.1,OFF,0.18,0.22
Weekday_06,0.66,0,SETBACK,0.15,0,0.15,OFF,0.22,0.28
Weekday_07,0.64,0,SETPOINT,0.35,0,0.35,SETPOINT,0.32,0.36
Weekday_08,0.65,0,SETPOINT,0.68,0,0.68,SETPOINT,0.66,0.68
Weekday_09,0.66,0,SETPOINT,0.96,0,0.96,SETPOINT,0.84,0.88
Weekday_10,0.66,0,SETPOINT,1.0,0,1.0,SETPOINT,1.0,1.0
Weekday_11,0.66,0,SETPOINT,0.74,0,0.74,SETPOINT,0.76,0.74
Weekday_12,0.66,0,SETPOINT,0.48,0,0.48,SETPOINT,0.46,0.48
Weekday_13,0.66,0,SETPOINT,0.68,0,0.68,SETPOINT,0.66,0.68
Weekday_14,0.66,0,SETPOINT,1.0,0,1.0,SETPOINT,1.0,1.0
Weekday_15,0.66,0,SETPOINT,0.8,0,0.8,SETPOINT,0.8,0.8
Weekday_16,0.66,0,SETPOINT,0.64,0,0.64,SETPOINT,0.63,0.64
Weekday_17,0.66,0,SETPOINT,0.32,0,0.32,SETPOINT,0.29,0.32
Weekday_18,0.66,0,SETBACK,0.1,0,0.1,OFF,0.18,0.22
Weekday_19,0.64,0,SETBACK,0.1,0,0.1,OFF,0.18,0.22
Weekday_20,0.63,0,SETBACK,0.1,0,0.1,OFF,0.18,0.22
Weekday_21,0.63,0,SETBACK,0.1,0,0.1,OFF,0.18,0.22
Weekday_22,0.64,0,SETBACK,0.04,0,0.04,OFF,0.14,0.16
Weekday_23,0.62,0,SETBACK,0.04,0,0.04,OFF,0.14,0.16
Saturday_00,0.61,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_01,0.61,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_02,0.61,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_03,0.61,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_04,0.61,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_05,0.61,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_06,0.61,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_07,0.61,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_08,0.62,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_09,0.62,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_10,0.62,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_11,0.54,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_12,0.53,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_13,0.53,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_14,0.53,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_15,0.53,0,OFF,0.0,0,0.0,OFF,0.14,0.16
Saturday_16,0.52,0,OFF,0.0,0,0.0,OFF,0.14,0.16
