mdot_DH_result_kgpers,T_return_DH_result_K,T_supply_DH_result_K,A_hex_heating_design_m2,A_hex_dhw_design_m2,Q_heating_W,Q_dhw_W
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
5.480,320.082,338.000,132.432,1.546,406365.000,4533.000
4.219,318.325,338.000,132.432,1.546,335125.000,12214.000
3.538,317.027,338.000,132.432,1.546,290291.000,20243.000
2.803,315.754,338.000,132.432,1.546,240717.000,20220.000
2.673,315.701,338.000,132.432,1.546,233223.000,16199.000
2.853,316.413,338.000,132.432,1.546,249552.000,8206.000
2.343,315.258,338.000,132.432,1.546,210827.000,12178.000
1.705,313.291,338.000,132.432,1.546,156138.000,20177.000
1.698,313.541,338.000,132.432,1.546,157688.000,16168.000
1.758,313.955,338.000,132.432,1.546,164729.000,12171.000
2.197,315.400,338.000,132.432,1.546,203503.000,4311.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
5.685,320.292,338.000,132.432,1.546,416574.000,4742.000
4.525,318.724,338.000,132.432,1.546,352744.000,12304.000
4.005,317.729,338.000,132.432,1.546,319345.000,20425.000
3.250,316.547,338.000,132.432,1.546,271365.000,20398.000
3.137,316.530,338.000,132.432,1.546,265515.000,16348.000
3.275,317.108,338.000,132.432,1.546,278091.000,8278.000
2.780,316.090,338.000,132.432,1.546,242648.000,12286.000
2.234,314.579,338.000,132.432,1.546,198561.000,20383.000
2.264,314.866,338.000,132.432,1.546,202822.000,16345.000
2.379,315.322,338.000,132.432,1.546,213451.000,12323.000
2.875,316.630,338.000,132.432,1.546,252744.000,4368.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
0.000,273.000,273.000,132.432,1.546,0.000,0.000
