name,SC_ET_walls_south_Q_kWh,SC_ET_walls_north_Q_kWh,SC_ET_roofs_top_Q_kWh,SC_ET_walls_east_Q_kWh,SC_ET_walls_west_Q_kWh,radiation_kWh,Q_SC_gen_kWh,Eaux_SC_kWh,Q_SC_l_kWh,SC_ET_walls_south_m2,SC_ET_walls_north_m2,SC_ET_roofs_top_m2,SC_ET_walls_east_m2,SC_ET_walls_west_m2,area_SC_m2
B1000,0.00,0.00,244968.30,0.00,0.00,855343.28,244968.30,1175.29,11791.56,0.00,0.00,804.46,0.00,0.00,804.46
B1001,0.00,0.00,132035.75,0.00,0.00,450385.06,132035.75,771.89,5886.49,0.00,0.00,416.83,0.00,0.00,416.83
B1002,0.00,0.00,123157.79,0.00,0.00,421027.36,123157.79,743.35,5514.41,0.00,0.00,388.50,0.00,0.00,388.50
B1003,0.00,0.00,117173.61,0.00,0.00,399817.13,117173.61,720.56,5119.70,0.00,0.00,372.87,0.00,0.00,372.87
B1004,0.00,0.00,123314.68,0.00,0.00,424368.71,123314.68,743.65,5514.01,0.00,0.00,388.52,0.00,0.00,388.52
B1005,0.00,0.00,201361.18,0.00,0.00,695705.62,201361.18,1027.73,9554.89,0.00,0.00,633.48,0.00,0.00,633.48
B1006,0.00,0.00,184309.15,0.00,0.00,632807.08,184309.15,961.03,8587.08,0.00,0.00,587.16,0.00,0.00,587.16
B1007,0.00,0.00,168759.55,0.00,0.00,578125.49,168759.55,914.77,7816.22,0.00,0.00,532.35,0.00,0.00,532.35
B1008,0.00,0.00,205801.32,0.00,0.00,710329.80,205801.32,1051.64,9757.45,0.00,0.00,646.79,0.00,0.00,646.79
B1009,0.00,0.00,146829.59,0.00,0.00,506596.33,146829.59,815.73,6780.94,0.00,0.00,500.51,0.00,0.00,500.51
B1010,0.00,0.00,210888.65,0.00,0.00,716227.19,210888.65,1032.49,9764.47,0.00,0.00,692.24,0.00,0.00,692.24
B1011,0.00,0.00,87425.57,0.00,0.00,299149.72,87425.57,625.60,3727.12,0.00,0.00,278.05,0.00,0.00,278.05
B1012,0.00,0.00,434577.87,0.00,0.00,1508791.78,434577.87,1810.78,21539.38,0.00,0.00,1465.53,0.00,0.00,1465.53
B1013,0.00,0.00,82694.32,0.00,0.00,285842.16,82694.32,609.43,3523.65,0.00,0.00,267.73,0.00,0.00,267.73
B1014,28.69,0.00,459092.89,0.00,0.00,1813231.85,459121.59,1841.52,22896.64,278.39,0.00,1448.20,0.00,0.00,1726.59
