SURFACE,BUILDING,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf0,B1003,top,0,1,463119.38,15224834.19,16.00,-0.00,0.00,1,0.21,roofs,3,0,463118.0832 15224834.241500001 463120.0832 15224834.056467898 463120.0832 15224834.251600001 463118.08414119645 15224834.251600001,1086287.00,0.00,15.33,1.82,-0.00,0.11,5,6,10,roofs_top,srf0
srf1,B1003,top,0,1,463119.13,15224835.24,16.00,-0.00,0.00,1,3.81,roofs,3,0,463118.08414119645 15224834.251600001 463120.0832 15224834.251600001 463120.0832 15224836.251600001 463118.27051674505 15224836.251600001,1087763.88,0.00,15.33,1.82,-0.00,2.03,5,6,10,roofs_top,srf1
srf2,B1003,top,0,1,463119.22,15224837.23,16.00,-0.00,0.00,1,3.44,roofs,3,0,463118.27051674505 15224836.251600001 463120.0832 15224836.251600001 463120.0832 15224838.251600001 463118.4568922936 15224838.251600001,1088296.12,0.00,15.33,1.82,-0.00,1.83,5,6,10,roofs_top,srf2
srf3,B1003,top,0,1,463119.32,15224839.23,16.00,-0.00,0.00,1,3.07,roofs,3,0,463118.4568922936 15224838.251600001 463120.0832 15224838.251600001 463120.0832 15224840.251600001 463118.6432678422 15224840.251600001,1089158.88,0.00,15.33,1.82,-0.00,1.63,5,6,10,roofs_top,srf3
srf4,B1003,top,0,1,463119.41,15224841.23,16.00,-0.00,0.00,1,2.69,roofs,3,0,463118.6432678422 15224840.251600001 463120.0832 15224840.251600001 463120.0832 15224842.251600001 463118.8296433907 15224842.251600001,1090920.75,0.00,15.33,1.82,-0.00,1.44,5,6,10,roofs_top,srf4
srf5,B1003,top,0,1,463119.50,15224843.22,16.00,-0.00,0.00,1,2.32,roofs,3,0,463118.8296433907 15224842.251600001 463120.0832 15224842.251600001 463120.0832 15224844.251600001 463119.0160189393 15224844.251600001,1093249.62,0.00,15.33,1.82,-0.00,1.24,5,6,10,roofs_top,srf5
srf6,B1003,top,0,1,463119.59,15224845.22,16.00,-0.00,0.00,1,1.95,roofs,3,0,463119.0160189393 15224844.251600001 463120.0832 15224844.251600001 463120.0832 15224846.251600001 463119.20239448786 15224846.251600001,1093496.75,0.00,15.33,1.82,-0.00,1.04,5,6,10,roofs_top,srf6
srf7,B1003,top,0,1,463119.69,15224847.21,16.00,-0.00,0.00,1,1.58,roofs,3,0,463119.20239448786 15224846.251600001 463120.0832 15224846.251600001 463120.0832 15224848.251600001 463119.3887700364 15224848.251600001,1093496.75,0.00,15.33,1.82,-0.00,0.84,5,6,10,roofs_top,srf7
srf8,B1003,top,0,1,463119.78,15224849.20,16.00,-0.00,0.00,1,1.20,roofs,3,0,463119.3887700364 15224848.251600001 463120.0832 15224848.251600001 463120.0832 15224850.251600001 463119.575145585 15224850.251600001,1093496.75,0.00,15.33,1.82,-0.00,0.64,5,6,10,roofs_top,srf8
srf9,B1003,top,0,1,463119.87,15224851.18,16.00,-0.00,0.00,1,0.83,roofs,3,0,463119.575145585 15224850.251600001 463120.0832 15224850.251600001 463120.0832 15224852.251600001 463119.76152113354 15224852.251600001,1091245.00,0.00,15.33,1.82,-0.00,0.44,5,6,10,roofs_top,srf9
srf10,B1003,top,0,1,463119.96,15224853.12,16.00,-0.00,0.00,1,0.46,roofs,3,0,463119.76152113354 15224852.251600001 463120.0832 15224852.251600001 463120.0832 15224854.251600001 463119.94789668213 15224854.251600001,1091105.50,0.00,15.33,1.82,-0.00,0.24,5,6,10,roofs_top,srf10
srf11,B1003,top,0,1,463120.04,15224854.74,16.00,-0.00,0.00,1,0.10,roofs,3,0,463119.94789668213 15224854.251600001 463120.0832 15224854.251600001 463120.0832 15224855.7035428,1091105.50,0.00,15.33,1.82,-0.00,0.05,5,6,10,roofs_top,srf11
srf12,B1003,top,0,1,463121.19,15224834.10,16.00,-0.00,0.00,1,0.58,roofs,3,0,463122.0832 15224833.871435795 463122.0832 15224834.251600001 463120.0832 15224834.251600001 463120.0832 15224834.056467898,1085127.75,0.00,15.33,1.82,-0.00,0.31,5,6,10,roofs_top,srf12
