SURFACE,BUILDING,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf0,B1009,top,0,1,463161.14,15225011.43,7.00,0.00,-0.00,1,0.51,roofs,10,0,463162.02280000004 15225011.221879076 463162.02280000004 15225011.561900001 463160.037326715 15225011.561900001 463160.02280000004 15225011.3944,898014.44,0.00,15.33,3.65,0.00,0.27,5,6,9,roofs_top,srf0
srf1,B1009,top,0,1,463161.07,15225012.55,7.00,0.00,-0.00,1,3.80,roofs,10,0,463160.037326715 15225011.561900001 463162.02280000004 15225011.561900001 463162.02280000004 15225013.561900001 463160.21078002773 15225013.561900001,884149.50,0.00,15.33,3.65,0.00,2.02,5,6,9,roofs_top,srf1
srf2,B1009,top,0,1,463161.16,15225014.55,7.00,0.00,-0.00,1,3.45,roofs,10,0,463160.21078002773 15225013.561900001 463162.02280000004 15225013.561900001 463162.02280000004 15225015.561900001 463160.3842333404 15225015.561900001,872700.12,0.00,15.33,3.65,0.00,1.84,5,6,9,roofs_top,srf2
srf3,B1009,top,0,1,463161.25,15225016.54,7.00,0.00,-0.00,1,3.10,roofs,10,0,463160.3842333404 15225015.561900001 463162.02280000004 15225015.561900001 463162.02280000004 15225017.561900001 463160.5576866531 15225017.561900001,876893.31,0.00,15.33,3.65,0.00,1.65,5,6,9,roofs_top,srf3
srf4,B1009,top,0,1,463161.33,15225018.54,7.00,0.00,-0.00,1,2.76,roofs,10,0,463160.5576866531 15225017.561900001 463162.02280000004 15225017.561900001 463162.02280000004 15225019.561900001 463160.73113996576 15225019.561900001,880054.69,0.00,15.33,3.65,0.00,1.47,5,6,9,roofs_top,srf4
srf5,B1009,top,0,1,463161.42,15225020.54,7.00,0.00,-0.00,1,2.41,roofs,10,0,463160.73113996576 15225019.561900001 463162.02280000004 15225019.561900001 463162.02280000004 15225021.561900001 463160.9045932785 15225021.561900001,882028.06,0.00,15.33,3.65,0.00,1.28,5,6,9,roofs_top,srf5
srf6,B1009,top,0,1,463161.51,15225022.53,7.00,0.00,-0.00,1,2.06,roofs,10,0,463160.9045932785 15225021.561900001 463162.02280000004 15225021.561900001 463162.02280000004 15225023.561900001 463161.0780465912 15225023.561900001,882729.94,0.00,15.33,3.65,0.00,1.10,5,6,9,roofs_top,srf6
srf7,B1009,top,0,1,463161.59,15225024.53,7.00,0.00,-0.00,1,1.72,roofs,10,0,463161.0780465912 15225023.561900001 463162.02280000004 15225023.561900001 463162.02280000004 15225025.561900001 463161.25149990385 15225025.561900001,882807.31,0.00,15.33,3.65,0.00,0.91,5,6,9,roofs_top,srf7
srf8,B1009,top,0,1,463161.68,15225026.52,7.00,0.00,-0.00,1,1.37,roofs,10,0,463161.25149990385 15225025.561900001 463162.02280000004 15225025.561900001 463162.02280000004 15225027.561900001 463161.42495321657 15225027.561900001,882184.88,0.00,15.33,3.65,0.00,0.73,5,6,9,roofs_top,srf8
srf9,B1009,top,0,1,463161.76,15225028.51,7.00,0.00,-0.00,1,1.02,roofs,10,0,463161.42495321657 15225027.561900001 463162.02280000004 15225027.561900001 463162.02280000004 15225029.561900001 463161.5984065293 15225029.561900001,893666.88,0.00,15.33,3.65,0.00,0.54,5,6,9,roofs_top,srf9
srf10,B1009,top,0,1,463161.85,15225030.48,7.00,0.00,-0.00,1,0.68,roofs,10,0,463161.5984065293 15225029.561900001 463162.02280000004 15225029.561900001 463162.02280000004 15225031.561900001 463161.77185984195 15225031.561900001,905702.31,0.00,15.33,3.65,0.00,0.36,5,6,9,roofs_top,srf10
srf11,B1009,top,0,1,463161.93,15225032.39,7.00,0.00,-0.00,1,0.33,roofs,10,0,463161.77185984195 15225031.561900001 463162.02280000004 15225031.561900001 463162.02280000004 15225033.561900001 463161.94531315466 15225033.561900001,947990.56,0.00,15.33,3.65,0.00,0.18,5,6,9,roofs_top,srf11
srf12,B1009,top,0,1,463162.00,15225033.86,7.00,0.00,-0.00,1,0.03,roofs,10,0,463161.94531315466 15225033.561900001 463162.02280000004 15225033.561900001 463162.02280000004 15225034.455360543,979119.81,0.00,15.33,3.65,0.00,0.02,5,6,10,roofs_top,srf12
srf13,B1009,top,0,1,463163.09,15225011.35,7.00,0.00,-0.00,1,0.85,roofs,10,0,463164.02280000004 15225011.049358154 463164.02280000004 15225011.561900001 463162.02280000004 15225011.561900001 463162.02280000004 15225011.221879076,938779.88,0.00,15.33,3.65,0.00,0.45,5,6,9,roofs_top,srf13
srf14,B1009,top,0,1,463163.02,15225012.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463162.02280000004 15225011.561900001 463164.02280000004 15225011.561900001 463164.02280000004 15225013.561900001 463162.02280000004 15225013.561900001,938841.44,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf14
srf15,B1009,top,0,1,463163.02,15225014.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463162.02280000004 15225013.561900001 463164.02280000004 15225013.561900001 463164.02280000004 15225015.561900001 463162.02280000004 15225015.561900001,937534.62,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf15
srf16,B1009,top,0,1,463163.02,15225016.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463162.02280000004 15225015.561900001 463164.02280000004 15225015.561900001 463164.02280000004 15225017.561900001 463162.02280000004 15225017.561900001,930468.50,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf16
srf17,B1009,top,0,1,463163.02,15225018.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463162.02280000004 15225017.561900001 463164.02280000004 15225017.561900001 463164.02280000004 15225019.561900001 463162.02280000004 15225019.561900001,927934.56,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf17
srf18,B1009,top,0,1,463163.02,15225020.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463162.02280000004 15225019.561900001 463164.02280000004 15225019.561900001 463164.02280000004 15225021.561900001 463162.02280000004 15225021.561900001,929907.94,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf18
srf19,B1009,top,0,1,463163.02,15225022.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463162.02280000004 15225021.561900001 463164.02280000004 15225021.561900001 463164.02280000004 15225023.561900001 463162.02280000004 15225023.561900001,929189.50,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf19
srf20,B1009,top,0,1,463163.02,15225024.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463162.02280000004 15225023.561900001 463164.02280000004 15225023.561900001 463164.02280000004 15225025.561900001 463162.02280000004 15225025.561900001,918589.94,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf20
srf21,B1009,top,0,1,463163.02,15225026.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463162.02280000004 15225025.561900001 463164.02280000004 15225025.561900001 463164.02280000004 15225027.561900001 463162.02280000004 15225027.561900001,918742.69,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf21
srf22,B1009,top,0,1,463163.02,15225028.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463162.02280000004 15225027.561900001 463164.02280000004 15225027.561900001 463164.02280000004 15225029.561900001 463162.02280000004 15225029.561900001,926913.62,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf22
srf23,B1009,top,0,1,463163.02,15225030.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463162.02280000004 15225029.561900001 463164.02280000004 15225029.561900001 463164.02280000004 15225031.561900001 463162.02280000004 15225031.561900001,936649.12,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf23
srf24,B1009,top,0,1,463163.02,15225032.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463162.02280000004 15225031.561900001 463164.02280000004 15225031.561900001 463164.02280000004 15225033.561900001 463162.02280000004 15225033.561900001,968217.50,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf24
srf25,B1009,top,0,1,463163.04,15225034.55,7.00,0.00,-0.00,1,3.95,roofs,10,0,463162.02280000004 15225033.561900001 463164.02280000004 15225033.561900001 463164.02280000004 15225035.561900001 463162.1187664674 15225035.561900001 463162.02280000004 15225034.455360543,993006.50,0.00,15.33,3.65,0.00,2.10,5,6,10,roofs_top,srf25
srf26,B1009,top,0,1,463163.11,15225036.55,7.00,0.00,-0.00,1,3.63,roofs,10,0,463162.1187664674 15225035.561900001 463164.02280000004 15225035.561900001 463164.02280000004 15225037.561900001 463162.29221978004 15225037.561900001,1019598.75,0.00,15.33,3.65,0.00,1.94,5,6,10,roofs_top,srf26
srf27,B1009,top,0,1,463163.20,15225038.54,7.00,0.00,-0.00,1,3.29,roofs,10,0,463162.29221978004 15225037.561900001 463164.02280000004 15225037.561900001 463164.02280000004 15225039.561900001 463162.46567309275 15225039.561900001,1032731.19,0.00,15.33,3.65,0.00,1.75,5,6,10,roofs_top,srf27
srf28,B1009,top,0,1,463163.29,15225040.54,7.00,0.00,-0.00,1,2.94,roofs,10,0,463162.46567309275 15225039.561900001 463164.02280000004 15225039.561900001 463164.02280000004 15225041.561900001 463162.6391264054 15225041.561900001,1040084.38,0.00,15.33,3.65,0.00,1.57,5,6,10,roofs_top,srf28
srf29,B1009,top,0,1,463163.37,15225042.54,7.00,0.00,-0.00,1,2.59,roofs,10,0,463162.6391264054 15225041.561900001 463164.02280000004 15225041.561900001 463164.02280000004 15225043.561900001 463162.8125797181 15225043.561900001,1045714.69,0.00,15.33,3.65,0.00,1.38,5,6,10,roofs_top,srf29
srf30,B1009,top,0,1,463163.46,15225044.54,7.00,0.00,-0.00,1,2.25,roofs,10,0,463162.8125797181 15225043.561900001 463164.02280000004 15225043.561900001 463164.02280000004 15225045.561900001 463162.98603303084 15225045.561900001,1045798.56,0.00,15.33,3.65,0.00,1.20,5,6,10,roofs_top,srf30
srf31,B1009,top,0,1,463163.55,15225046.53,7.00,0.00,-0.00,1,1.90,roofs,10,0,463162.98603303084 15225045.561900001 463164.02280000004 15225045.561900001 463164.02280000004 15225047.561900001 463163.1594863435 15225047.561900001,1051801.38,0.00,15.33,3.65,0.00,1.01,5,6,10,roofs_top,srf31
srf32,B1009,top,0,1,463163.63,15225048.52,7.00,0.00,-0.00,1,1.55,roofs,10,0,463163.1594863435 15225047.561900001 463164.02280000004 15225047.561900001 463164.02280000004 15225049.561900001 463163.3329396562 15225049.561900001,1055882.12,0.00,15.33,3.65,0.00,0.83,5,6,10,roofs_top,srf32
srf33,B1009,top,0,1,463163.72,15225050.51,7.00,0.00,-0.00,1,1.21,roofs,10,0,463163.3329396562 15225049.561900001 463164.02280000004 15225049.561900001 463164.02280000004 15225051.561900001 463163.50639296893 15225051.561900001,1059448.12,0.00,15.33,3.65,0.00,0.64,5,6,10,roofs_top,srf33
srf34,B1009,top,0,1,463163.81,15225052.49,7.00,0.00,-0.00,1,0.86,roofs,10,0,463163.50639296893 15225051.561900001 463164.02280000004 15225051.561900001 463164.02280000004 15225053.561900001 463163.6798462816 15225053.561900001,1063039.38,0.00,15.33,3.65,0.00,0.46,5,6,10,roofs_top,srf34
srf35,B1009,top,0,1,463163.88,15225054.33,7.00,0.00,-0.00,1,0.46,roofs,10,0,463164.02280000004 15225053.561900001 463164.02280000004 15225055.240601417 463163.82690000004 15225055.2575 463163.6798462816 15225053.561900001,1063699.38,0.00,15.33,3.65,0.00,0.24,5,6,10,roofs_top,srf35
srf36,B1009,top,0,1,463165.07,15225011.26,7.00,0.00,-0.00,1,1.20,roofs,10,0,463166.02280000004 15225010.87683723 463166.02280000004 15225011.561900001 463164.02280000004 15225011.561900001 463164.02280000004 15225011.049358154,973160.12,0.00,15.33,3.65,0.00,0.64,5,6,10,roofs_top,srf36
srf37,B1009,top,0,1,463165.02,15225012.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225011.561900001 463166.02280000004 15225011.561900001 463166.02280000004 15225013.561900001 463164.02280000004 15225013.561900001,971662.31,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf37
srf38,B1009,top,0,1,463165.02,15225014.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225013.561900001 463166.02280000004 15225013.561900001 463166.02280000004 15225015.561900001 463164.02280000004 15225015.561900001,965052.31,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf38
srf39,B1009,top,0,1,463165.02,15225016.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225015.561900001 463166.02280000004 15225015.561900001 463166.02280000004 15225017.561900001 463164.02280000004 15225017.561900001,965705.75,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf39
srf40,B1009,top,0,1,463165.02,15225018.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225017.561900001 463166.02280000004 15225017.561900001 463166.02280000004 15225019.561900001 463164.02280000004 15225019.561900001,960741.94,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf40
srf41,B1009,top,0,1,463165.02,15225020.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225019.561900001 463166.02280000004 15225019.561900001 463166.02280000004 15225021.561900001 463164.02280000004 15225021.561900001,957896.31,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf41
srf42,B1009,top,0,1,463165.02,15225022.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225021.561900001 463166.02280000004 15225021.561900001 463166.02280000004 15225023.561900001 463164.02280000004 15225023.561900001,941765.69,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf42
srf43,B1009,top,0,1,463165.02,15225024.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225023.561900001 463166.02280000004 15225023.561900001 463166.02280000004 15225025.561900001 463164.02280000004 15225025.561900001,941995.81,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf43
srf44,B1009,top,0,1,463165.02,15225026.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225025.561900001 463166.02280000004 15225025.561900001 463166.02280000004 15225027.561900001 463164.02280000004 15225027.561900001,945722.25,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf44
srf45,B1009,top,0,1,463165.02,15225028.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225027.561900001 463166.02280000004 15225027.561900001 463166.02280000004 15225029.561900001 463164.02280000004 15225029.561900001,954756.44,0.00,15.33,3.65,0.00,2.13,5,6,9,roofs_top,srf45
srf46,B1009,top,0,1,463165.02,15225030.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225029.561900001 463166.02280000004 15225029.561900001 463166.02280000004 15225031.561900001 463164.02280000004 15225031.561900001,974637.50,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf46
srf47,B1009,top,0,1,463165.02,15225032.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225031.561900001 463166.02280000004 15225031.561900001 463166.02280000004 15225033.561900001 463164.02280000004 15225033.561900001,1002894.00,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf47
srf48,B1009,top,0,1,463165.02,15225034.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225033.561900001 463166.02280000004 15225033.561900001 463166.02280000004 15225035.561900001 463164.02280000004 15225035.561900001,1024032.50,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf48
srf49,B1009,top,0,1,463165.02,15225036.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225035.561900001 463166.02280000004 15225035.561900001 463166.02280000004 15225037.561900001 463164.02280000004 15225037.561900001,1026869.38,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf49
srf50,B1009,top,0,1,463165.02,15225038.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225037.561900001 463166.02280000004 15225037.561900001 463166.02280000004 15225039.561900001 463164.02280000004 15225039.561900001,1035292.62,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf50
srf51,B1009,top,0,1,463165.02,15225040.56,7.00,0.00,-0.00,1,4.00,roofs,10,0,463164.02280000004 15225039.561900001 463166.02280000004 15225039.561900001 463166.02280000004 15225041.561900001 463164.02280000004 15225041.561900001,1044964.12,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf51
