BUILDING,SURFACE,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly
B1012,srf0,top,0,1,463224.32471527596,15224824.588766735,7,-0,0,1,1.681539533333925,roofs,14,0,463223.2698 15224824.2629 463225.2698 15224824.069252763 463225.2698 15224825.021100001 463223.3449983806 15224825.021100001
B1012,srf1,top,0,1,463224.35609123623,15224826.002991075,7,-0,0,1,3.6512429632712156,roofs,14,0,463223.3449983806 15224825.021100001 463225.2698 15224825.021100001 463225.2698 15224827.021100001 463223.5433586561 15224827.021100001
B1012,srf2,top,0,1,463224.4551619066,15224828.000783628,7,-0,0,1,3.254522412316874,roofs,14,0,463223.5433586561 15224827.021100001 463225.2698 15224827.021100001 463225.2698 15224829.021100001 463223.74171893165 15224829.021100001
B1012,srf3,top,0,1,463224.5542021844,15224829.997963306,7,-0,0,1,2.857801861129701,roofs,14,0,463223.74171893165 15224829.021100001 463225.2698 15224829.021100001 463225.2698 15224831.021100001 463223.94007920724 15224831.021100001
B1012,srf4,top,0,1,463224.653197372,15224831.994233724,7,-0,0,1,2.4610813099425286,roofs,14,0,463223.94007920724 15224831.021100001 463225.2698 15224831.021100001 463225.2698 15224833.021100001 463224.1384394828 15224833.021100001
B1012,srf5,top,0,1,463224.7521214736,15224833.98907067,7,-0,0,1,2.0643607589881867,roofs,14,0,463224.1384394828 15224833.021100001 463225.2698 15224833.021100001 463225.2698 15224835.021100001 463224.3367997583 15224835.021100001
B1012,srf6,top,0,1,463224.8509237566,15224835.981451105,7,-0,0,1,1.6676402078010142,roofs,14,0,463224.3367997583 15224835.021100001 463225.2698 15224835.021100001 463225.2698 15224837.021100001 463224.5351600339 15224837.021100001
B1012,srf7,top,0,1,463224.9494901431,15224837.96907461,7,-0,0,1,1.2709196566138419,roofs,14,0,463224.5351600339 15224837.021100001 463225.2698 15224837.021100001 463225.2698 15224839.021100001 463224.73352030944 15224839.021100001
B1012,srf8,top,0,1,463225.04749947635,15224839.945464952,7,-0,0,1,0.8741991056594998,roofs,14,0,463224.73352030944 15224839.021100001 463225.2698 15224839.021100001 463225.2698 15224841.021100001 463224.931880585 15224841.021100001
B1012,srf9,top,0,1,463225.1435632469,15224841.882622385,7,-0,0,1,0.47747855447232723,roofs,14,0,463224.931880585 15224841.021100001 463225.2698 15224841.021100001 463225.2698 15224843.021100001 463225.13024086057 15224843.021100001
B1012,srf10,top,0,1,463225.2232802869,15224843.490142636,7,-0,0,1,0.09818877965434442,roofs,14,0,463225.13024086057 15224843.021100001 463225.2698 15224843.021100001 463225.2698 15224844.428227905
B1012,srf11,top,0,1,463226.3005766156,15224824.49527462,7,-0,0,1,2.09734171633164,roofs,14,0,463227.2698 15224823.875605524 463227.2698 15224825.021100001 463225.2698 15224825.021100001 463225.2698 15224824.069252763
B1012,srf12,top,0,1,463226.2698,15224826.021100001,7,-0,0,1,4,roofs,14,0,463225.2698 15224825.021100001 463227.2698 15224825.021100001 463227.2698 15224827.021100001 463225.2698 15224827.021100001
B1012,srf13,top,0,1,463226.2698,15224828.021100001,7,-0,0,1,4,roofs,14,0,463225.2698 15224827.021100001 463227.2698 15224827.021100001 463227.2698 15224829.021100001 463225.2698 15224829.021100001
B1012,srf14,top,0,1,463226.2698,15224830.021100001,7,-0,0,1,4,roofs,14,0,463225.2698 15224829.021100001 463227.2698 15224829.021100001 463227.2698 15224831.021100001 463225.2698 15224831.021100001
B1012,srf15,top,0,1,463226.2698,15224832.021100001,7,-0,0,1,4,roofs,14,0,463225.2698 15224831.021100001 463227.2698 15224831.021100001 463227.2698 15224833.021100001 463225.2698 15224833.021100001
B1012,srf16,top,0,1,463226.2698,15224834.021100001,7,-0,0,1,4,roofs,14,0,463225.2698 15224833.021100001 463227.2698 15224833.021100001 463227.2698 15224835.021100001 463225.2698 15224835.021100001
B1012,srf17,top,0,1,463226.2698,15224836.021100001,7,-0,0,1,4,roofs,14,0,463225.2698 15224835.021100001 463227.2698 15224835.021100001 463227.2698 15224837.021100001 463225.2698 15224837.021100001
B1012,srf18,top,0,1,463226.2698,15224838.021100001,7,-0,0,1,4,roofs,14,0,463225.2698 15224837.021100001 463227.2698 15224837.021100001 463227.2698 15224839.021100001 463225.2698 15224839.021100001
B1012,srf19,top,0,1,463226.2698,15224840.021100001,7,-0,0,1,4,roofs,14,0,463225.2698 15224839.021100001 463227.2698 15224839.021100001 463227.2698 15224841.021100001 463225.2698 15224841.021100001
