Date,roofs_top_kW,walls_east_kW,walls_north_kW,walls_south_kW,walls_west_kW,windows_east_kW,windows_north_kW,windows_south_kW,windows_west_kW,roofs_top_m2,walls_east_m2,walls_north_m2,walls_south_m2,walls_west_m2,windows_east_m2,windows_north_m2,windows_south_m2,windows_west_m2
2009/1/1 0:00:00,0,0,0,0,0,0,0,0,0,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 1:00:00,0,0,0,0,0,0,0,0,0,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 2:00:00,0,0,0,0,0,0,0,0,0,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 3:00:00,0,0,0,0,0,0,0,0,0,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 4:00:00,0,0,0,0,0,0,0,0,0,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 5:00:00,0,0,0,0,0,0,0,0,0,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 6:00:00,0,0,0,0,0,0,0,0,0,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 7:00:00,0,0,0,0,0,0,0,0,0,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 8:00:00,10.625,0.794,0.34800000000000003,0.11800000000000001,0.504,0.279,0,0.041,0.177,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 9:00:00,189.264,44.247,5.571,4.86,8.186,15.546000000000001,0,0.653,2.876,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 10:00:00,340.307,46.216,10.032,5.765,14.399000000000001,16.238,0,1.19,5.059,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 11:00:00,451.12600000000003,48.94,12.624,8.411,17.556,17.195,0,1.497,6.168,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 12:00:00,463.845,32.396,13.457,7.314,18.444,11.383000000000001,0,1.588,6.48,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 13:00:00,366.558,24.557000000000002,11.48,5.19,16.113,8.628,0,1.411,5.6610000000000005,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 14:00:00,258.424,18.91,8.894,3.112,13.425,6.644,0,1.093,4.347,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 15:00:00,112.166,8.672,4.237,1.716,5.73,3.047,0,0.603,2.013,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 16:00:00,5.312,0.397,0.17400000000000002,0.059000000000000004,0.252,0.139,0,0.021,0.089,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 17:00:00,0,0,0,0,0,0,0,0,0,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 18:00:00,0,0,0,0,0,0,0,0,0,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 19:00:00,0,0,0,0,0,0,0,0,0,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 20:00:00,0,0,0,0,0,0,0,0,0,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
2009/1/1 21:00:00,0,0,0,0,0,0,0,0,0,2813.459,370.12600000000003,202.52700000000002,149.354,371.315,130.044,0,52.476,130.462
