thermal_loss_supply_kW,thermal_loss_return_kW,thermal_loss_total_kW
-0.08515931130654872,-0.07995497850721163,-0.16511428981376036
-0.07987673920302987,-0.07499460691512988,-0.15487134611815975
-0.08238976231488082,-0.07735468469733328,-0.1597444470122141
-0.08143516488185765,-0.07645842548558013,-0.15789359036743777
-0.08198131320446424,-0.07697054761434521,-0.15895186081880947
-0.08051545636940932,-0.0755942851603888,-0.15610974152979812
-0.08208205346614103,-0.07706513054793294,-0.15914718401407396
-0.08150135182473332,-0.07652056755218398,-0.15802191937691729
-0.0805154057683693,-0.07559487552216279,-0.1561102812905321
-0.0808358196487454,-0.07589570798022482,-0.15673152762897022
-0.08271101990478102,-0.07765630930299869,-0.1603673292077797
-0.07994547162210902,-0.07505977170656496,-0.155005243328674
-0.08355497161761835,-0.07844868467562599,-0.16200365629324434
-0.08052708153822821,-0.07560583775156103,-0.15613291928978923
-0.08199688614712676,-0.07698581833267136,-0.15898270447979812
-0.08022337464699399,-0.07532069127108422,-0.1555440659180782
-0.08343039804134818,-0.07833172415324334,-0.16176212219459152
-0.08003269404817147,-0.07514166371689544,-0.1551743577650669
-0.08186034116529153,-0.07685761801133051,-0.15871795917662204
-0.0808770870624449,-0.0759344534222505,-0.1568115404846954
-0.08144058303580737,-0.07646351252021799,-0.15790409555602536
-0.08070695344998424,-0.07577407778101787,-0.1564810312310021
-0.08134535554484304,-0.07637346021184403,-0.15771881575668706
-0.08098139373415317,-0.0760317440477006,-0.15701313778185377
-0.08095942261150416,-0.07601111581821873,-0.1569705384297229
-0.08167435424660449,-0.07668235024088102,-0.1583567044874855
-0.08089767470680076,-0.07595314199740612,-0.15685081670420686
-0.08241619196666194,-0.07737884622739044,-0.15979503819405239
-0.08101279211001568,-0.07606122332983545,-0.1570740154398511
-0.08102440214903744,-0.07607212375337652,-0.15709652590241396
-0.08190900779902902,-0.07690266157524782,-0.15881166937427682
-0.08184361164963493,-0.07684126249244586,-0.15868487414208077
-0.0805725597557953,-0.07564789834114719,-0.1562204580969425
-0.0816842221517515,-0.07669161501285657,-0.15837583716460807
-0.08145452484950877,-0.07647595699962098,-0.15793048184912975
-0.08207955551539924,-0.07706278527516468,-0.1591423407905639
-0.08087186576397332,-0.07592891051884192,-0.15680077628281525
-0.08196092311986498,-0.07695140378870187,-0.15891232690856685
-0.08004778331113993,-0.0751551966660468,-0.15520297997718674
-0.08149672357460688,-0.0765155765038803,-0.15801230007848718
-0.0798978608654261,-0.07501443760429255,-0.15491229846971866
-0.08324813380194047,-0.07815993909144114,-0.1614080728933816
-0.0799945286057102,-0.07510519693202758,-0.15509972553773776
-0.08262286076692585,-0.07757222869438946,-0.1601950894613153
-0.0798327163907961,-0.07495264235264415,-0.15478535874344024
-0.08299069869484814,-0.07791758114920991,-0.16090827984405803
-0.08071129557632835,-0.0757775150910909,-0.15648881066741926
-0.08265486338848584,-0.07760227503531443,-0.16025713842380027
-0.08093434739150981,-0.07598693202854068,-0.1569212794200505
-0.08114052895826497,-0.07618050997443943,-0.15732103893270438
-0.08093875675148401,-0.07599107185037908,-0.1569298286018631
-0.08087583575240802,-0.07593199713322843,-0.15680783288563643
-0.08152306407762112,-0.07653966120070767,-0.1580627252783288
-0.08166081439111003,-0.07666899100998498,-0.158329805401095
-0.0814948054179934,-0.07651312995762795,-0.15800793537562136
-0.08227728171463435,-0.07724777445731,-0.15952505617194435
-0.0819726975096599,-0.0769618091030134,-0.15893450661267328
-0.08174580766441002,-0.07674878875077869,-0.1584945964151887
-0.08093281214951051,-0.07598613180982,-0.1569189439593305
-0.0802050016289827,-0.07530280566988515,-0.15550780729886785
-0.08176936842435811,-0.07677155707512817,-0.15854092549948628
-0.08114706695105646,-0.07618729118232812,-0.1573343581333846
-0.08137289827402579,-0.07639931950779762,-0.1577722177818234
-0.08205763344563187,-0.07704220310015941,-0.1590998365457913
-0.0808510161694452,-0.07590933526918389,-0.1567603514386291
-0.08139985277429042,-0.07642398164883112,-0.15782383442312153
-0.08235895386458247,-0.07732445409006362,-0.15968340795464608
-0.08143176081771994,-0.0764539391951422,-0.15788570001286215
-0.08065342439096373,-0.0757231814997072,-0.15637660589067093
-0.08270510374097566,-0.07764944425861799,-0.16035454799959364
-0.08275310934523589,-0.0776945153400727,-0.1604476246853086
-0.08012782526457132,-0.07522971158845089,-0.15535753685302223
-0.08208951119769024,-0.07707148211693739,-0.15916099331462763
-0.08091581337160342,-0.07596953096988082,-0.15688534434148424
-0.08259832513426692,-0.07754919289306432,-0.16014751802733124
-0.08024978225898816,-0.0753442135065165,-0.15559399576550464
-0.08134702007286514,-0.07637437854629042,-0.15772139861915557
-0.08156927060980732,-0.07658304318606501,-0.15815231379587233
-0.08028601435287627,-0.07537823077676625,-0.15566424512964253
-0.08129865116056055,-0.07632896636505941,-0.15762761752561996
