B1005,B1006,B1001,B1011,B1014,B1008,B1000,B1007,B1003,B1004,B1012,B1013,B1010,B1002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014608324,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014608324,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014608324,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014608324,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014608324,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011863807,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014608326,0.0,0.0,0.0
0.07092558,0.06949772,0.051126517,0.024702303,0.0,0.05770727,0.15362431,0.055166505,0.043731563,0.053983234,0.046656527,0.04745859,0.0,0.04796254
0.049432334,0.050256375,0.037189446,0.02045413,0.01911425,0.04263873,0.107799806,0.040382337,0.032636836,0.038668316,0.033557642,0.033722766,0.0,0.035294328
0.035619345,0.036393654,0.027006967,0.0151246125,0.011676545,0.030825434,0.075177334,0.029219992,0.023845358,0.028012598,0.023569493,0.023759125,0.0,0.025682723
0.024004154,0.024980403,0.018649494,0.010790088,0.009113855,0.021177506,0.04994757,0.020108055,0.016729964,0.019208139,0.014441455,0.016099662,0.0,0.017890785
0.026935257,0.028322168,0.021218259,0.011417428,0.016046181,0.024463134,0.054732803,0.023040432,0.019106045,0.021543454,0.014548032,0.01742445,0.0,0.020318575
0.0377742,0.039628837,0.029438699,0.014067936,0.023403337,0.035138577,0.07518119,0.032673165,0.026564868,0.029732237,0.01806459,0.02330909,0.0,0.028198283
0.022788903,0.023882799,0.017811704,0.008634701,0.013546505,0.020791125,0.043548547,0.019531205,0.016062165,0.018096069,0.010443896,0.013834107,0.0,0.017088696
0.011789619,0.012424976,0.009341954,0.005135067,0.0,0.010506389,0.02151991,0.010053728,0.0085293995,0.0095288465,0.005233132,0.0072661485,0.0,0.009059075
0.011985925,0.012574855,0.009430332,0.004889759,0.0,0.01071731,0.021378629,0.0102002835,0.008561269,0.0096044075,0.005062857,0.0071263346,0.0,0.009120468
0.012692281,0.013134336,0.009830197,0.0048511596,0.0,0.011340251,0.022377338,0.010712307,0.008896722,0.010012602,0.0051940964,0.00727879,0.0,0.009469988
0.01682692,0.016976817,0.012595578,0.005425151,0.0,0.014830157,0.030366868,0.013878145,0.011182651,0.012881589,0.006653111,0.009384887,0.0,0.012015773
0.0,0.0,0.0,0.0,0.015803194,0.0,0.0,0.0,0.0,0.0,0.0004925079,0.0,0.007856243,0.0
0.0,0.0,0.0,0.0,0.0099537615,0.0,0.0,0.0,0.0,0.0,0.00037779298,0.0,0.008511017,0.0
0.0,0.0,0.0,0.0,0.0293627,0.0,0.0,0.0,0.0,0.0,0.0006097812,0.0,0.008955333,0.0
0.0,0.0,0.0,0.0,0.06204187,0.0,0.0,0.0,0.0,0.0,0.00094562414,0.0,0.009615968,0.0
0.0,0.0,0.0,0.0,0.0073819314,0.0,0.0,0.0,0.0,0.0,0.00036188253,0.0,0.008209338,0.0
0.0,0.0,0.0,0.0,0.007202058,0.0,0.0,0.0,0.0,0.0,0.00035160634,0.0,0.008116051,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014608324,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014608324,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014608324,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014608324,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014608324,0.0,0.0,0.0
