B1000,B1001,B1002,B1003,B1004,B1005,B1006,B1007,B1008,B1010,B1011,B1012,B1013,B1014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2542.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2558.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2552.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2554.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2566.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2127.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2473.0,0.0,0.0
410898.0,132101.0,127055.0,122679.0,127028.0,177791.0,179387.0,155316.0,175865.0,0.0,89296.0,129691.0,117400.0,0.0
347339.0,116370.0,112291.0,108461.0,112262.0,154651.0,157486.0,135498.0,152353.0,0.0,84014.0,113678.0,101663.0,81451.0
310534.0,108108.0,104406.0,101050.0,104356.0,142622.0,146077.0,125228.0,140495.0,0.0,79970.0,102180.0,92317.0,67545.0
260937.0,94262.0,91379.0,88560.0,91281.0,122352.0,126798.0,107941.0,119917.0,0.0,69088.0,80872.0,79488.0,65797.0
249422.0,92928.0,89813.0,87079.0,89603.0,120663.0,124742.0,106294.0,118168.0,0.0,61086.0,71944.0,75437.0,137613.0
257757.99999999997,96550.0,93237.0,90261.0,93093.0,127416.0,130443.00000000001,111874.0,125113.0,0.0,55255.0,68799.0,76263.0,214085.0
223005.0,87102.0,84320.0,81662.0,84244.0,113662.0,117306.0,100144.0,111237.0,0.0,51261.0,59160.0,67642.0,132315.0
176315.0,73080.0,71239.0,68995.0,71083.0,92737.0,97739.0,82445.0,90043.0,0.0,48849.0,47447.0,56743.0,0.0
173856.0,73059.0,71079.0,68746.0,70897.0,93173.0,97834.0,82815.0,90782.0,0.0,45899.0,45383.0,55309.0,0.0
176900.0,74070.0,71924.0,69627.0,71830.0,95542.0,99400.0,84512.0,93322.0,0.0,44148.0,45136.0,55137.0,0.0
207814.0,82448.0,79627.0,77026.0,79545.0,108817.0,111318.0,95681.0,107083.0,0.0,43334.0,49841.0,61593.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115631.0,0.0,2083.0,0.0,66235.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105034.0,0.0,2085.0,0.0,57590.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178107.0,0.0,2087.0,0.0,137185.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252079.0,0.0,2097.0,0.0,218945.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95291.0,0.0,2533.0,0.0,55190.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94007.0,0.0,2539.0,0.0,55237.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2546.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2569.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2580.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2589.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2594.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,0.0,0.0
421316.0,128753.99999999999,123875.0,119673.0,123845.0,173243.0,174675.0,151257.0,171426.0,0.0,92708.0,137031.0,119845.0,0.0
365048.0,115810.0,111743.0,107982.0,111709.0,154164.0,156663.0,134890.0,152005.0,0.0,90424.0,129106.0,106019.0,85264.0
339770.0,111629.0,107629.0,104393.0,107581.0,147883.0,150967.0,129667.0,146222.0,0.0,90272.0,125407.0,99566.0,72155.0
291763.0,98316.0,95155.0,92345.0,95062.0,128449.99999999999,132406.0,112992.0,126293.0,0.0,79846.0,106493.0,87199.0,70497.0
281863.0,97483.0,94124.0,91287.0,93920.0,127430.0,131037.0,112005.0,125188.0,0.0,72352.0,96422.0,83815.0,149526.0
286369.0,99646.0,96179.0,93169.0,96035.0,131877.0,134608.0,115669.0,129832.0,0.0,64188.0,89078.0,83776.0,232336.0
254934.0,91824.0,88800.0,86061.0,88742.0,120480.0,123775.0,105899.0,118202.0,0.0,61140.0,83571.0,76043.0,144055.0
218944.0,81630.0,79350.0,76837.0,79186.0,105125.0,109602.0,93014.0,102627.0,0.0,62816.0,81993.0,68017.0,0.0
219167.0,82378.0,79902.0,77293.0,79711.0,106541.0,110667.0,94225.0,104371.0,0.0,60069.0,79702.0,67317.0,0.0
225774.0,84454.0,81790.0,79191.0,81700.0,110393.0,113689.0,97177.0,108353.0,0.0,58959.0,81216.0,68136.0,0.0
257112.00000000003,92231.0,88957.0,86075.0,88881.0,122592.0,124708.0,107499.0,120983.0,0.0,56055.0,80740.0,74804.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122330.0,0.0,2150.0,0.0,75484.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112020.0,0.0,2162.0,0.0,66221.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190634.0,0.0,2168.0,0.0,157500.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268758.0,0.0,2174.0,0.0,248589.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102840.0,0.0,2648.0,0.0,64306.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101798.0,0.0,2660.0,0.0,64598.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97720.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79400.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76477.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156682.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239835.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148661.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128339.0,0.0,0.0,0.0,80153.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117122.0,0.0,0.0,0.0,69388.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196490.0,0.0,0.0,0.0,162579.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276249.0,0.0,0.0,0.0,257199.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107210.0,0.0,0.0,0.0,67055.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106283.0,0.0,0.0,0.0,67596.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
