PIPE0,PIPE1,PIPE2,PIPE3,PIPE4,PIPE5,PIPE6,PIPE7,PIPE8,PIPE9,PIPE10,PIPE11,PIPE12,PIPE13,PIPE14,PIPE15,PIPE16,PIPE17,PIPE18,PIPE19,PIPE20,PIPE21,PIPE22,PIPE23,PIPE24,PIPE25,PIPE26,PIPE27,PIPE28,PIPE29,PIPE30,PIPE31,PIPE32,PIPE33,PIPE34,PIPE35,PIPE36,PIPE37
0.0,1.4954415e-07,1.7446817e-07,0.0,1.2959092e-07,3.4477097e-07,3.4477097e-07,4.3124317e-07,1.5959739e-07,1.2959092e-07,1.5959739e-07,1.8819466e-07,1.2959092e-07,1.6750491e-07,7.2959764e-08,2.1562158e-07,5.583497e-08,1.993922e-07,5.583497e-08,1.2959092e-07,0.0,0.0029994678,1.09439654e-07,1.2959092e-07,2.1562158e-07,0.0,5.583497e-08,0.0,3.4477097e-07,3.4477097e-07,0.0,1.993922e-07,1.2959092e-07,1.09439654e-07,1.8819466e-07,0.0,1.09439654e-07,0.00029528854
2.1562158e-07,4.330788e-08,5.3970506e-08,0.0,2.971521e-14,5.2113733e-11,2.488626e-11,2.701808e-11,3.9289652e-08,9.873056e-11,4.020438e-08,1.5837246e-07,1.920281e-10,9.4453064e-08,5.5487814e-09,1.0416577e-10,5.658046e-10,5.3860006e-08,2.0687431e-10,2.6390595e-10,0.0,0.0029994678,3.1895457e-09,6.0666395e-08,2.616086e-07,1.2959092e-07,1.1984065e-09,0.0,6.73324e-12,5.301115e-11,0.0,5.3938138e-08,1.0352571e-10,6.273143e-08,5.377439e-08,2.1562158e-07,6.288528e-08,0.00029517245
1.9801321e-07,6.081586e-08,8.235634e-08,0.0,1.2959092e-07,4.816957e-07,1.9289881e-07,4.879383e-07,1.0821238e-07,1.2959092e-07,9.529794e-08,7.808308e-08,8.8341216e-11,5.3328e-08,1.09439654e-07,4.7920758e-11,1.456269e-07,1.1185006e-07,4.3503448e-08,9.0423036e-08,0.0,0.0029994678,1.1033012e-07,5.3957033e-10,1.782684e-07,1.9728369e-10,5.513187e-10,2.1562158e-07,0.0,4.9834205e-07,2.1562158e-07,1.12028474e-07,1.2959092e-07,5.9290507e-08,1.8800685e-07,1.7824001e-07,5.9083835e-08,0.00029524078
6.433808e-11,4.966757e-08,5.018623e-08,0.0,2.971521e-14,1.9536037e-07,4.4449493e-11,1.2218935e-07,3.7108627e-08,2.453081e-10,3.4023596e-08,9.3983225e-08,0.0,1.1048503e-07,4.14894e-10,2.2045619e-11,4.6050623e-08,5.002573e-08,4.6093454e-08,3.3515712e-10,2.1562158e-07,0.0029994678,6.871661e-10,2.4822566e-10,2.3906549e-07,8.111965e-08,5.583497e-08,2.3915203e-07,3.4477097e-07,1.9525905e-07,1.7516552e-10,4.9666404e-08,5.1539434e-10,7.1486575e-08,4.1046945e-08,2.390484e-07,7.169995e-08,0.00029517332
2.9598293e-11,2.5881455e-08,3.0985042e-08,0.0,1.2959092e-07,3.728971e-11,2.0448688e-11,7.7503435e-09,1.2995829e-09,1.12852325e-10,9.749682e-09,1.5173288e-08,1.2959092e-07,5.007652e-08,3.6479882e-08,2.1562158e-07,5.6171456e-10,4.7614986e-08,2.9876968e-10,1.5418676e-10,1.6230771e-10,0.0029994678,2.1444862e-08,1.14194536e-10,3.461507e-10,2.5518984e-10,2.9519936e-10,4.461637e-10,6.73324e-12,5.701191e-11,8.956681e-08,4.717591e-08,2.3710364e-10,3.2886913e-08,1.2151584e-07,2.916194e-10,3.2985074e-08,0.00029515984
2.1562158e-07,5.9461136e-08,9.166915e-08,1.2959092e-07,2.971521e-14,2.1354413e-07,2.280114e-07,1.3228176e-07,5.8035415e-08,1.2959092e-07,7.2965214e-08,7.6525765e-08,1.920281e-10,4.5892794e-08,5.015691e-09,1.0416577e-10,2.5841296e-10,9.0984976e-08,3.201375e-08,1.2959092e-07,7.4668556e-11,0.0024359424,1.1025856e-08,0.0,6.0650066e-08,6.5337545e-08,5.583497e-08,5.9049093e-08,3.4477097e-07,1.873906e-07,1.6439815e-10,9.111154e-08,8.844832e-08,5.571121e-08,1.211199e-07,5.5515677e-08,5.523421e-08,0.0002397355
1.0766095e-07,3.9441352e-09,1.6174955e-08,2.4368571e-11,1.2959092e-07,1.3822714e-10,4.584022e-11,1.2010691e-10,2.66988e-08,2.453081e-10,2.124154e-08,6.757055e-08,8.8341216e-11,1.5553526e-08,7.2959764e-08,4.7920758e-11,5.583497e-08,3.6741465e-08,4.677202e-10,2.6390595e-10,3.4350762e-11,0.0029994678,9.710301e-08,0.0,3.340416e-08,3.8265818e-11,2.9519936e-10,3.2846813e-08,6.73324e-12,5.618375e-11,9.47019e-08,3.6893546e-08,3.7054254e-10,1.0089841e-08,1.4567493e-10,3.3294512e-08,8.571144e-09,0.00029519075
0.7095734,0.44863075,0.53065145,0.6066492,0.61723167,4.0601682e-11,8.8844394e-07,4.7868923e-07,0.49532235,0.44117525,0.44592884,0.6551167,0.53256065,0.61818635,0.5175466,0.7052776,0.60950965,0.6493627,0.60950965,0.4564061,0.50554955,0.2738554,0.5175466,0.59838647,0.50554955,0.59838647,0.60950965,0.50554955,4.802519e-11,8.63186e-11,0.7095734,0.6493627,0.44143397,0.52815706,0.44049415,0.50554955,0.52815706,0.47441235
0.5798553,0.3654683,0.43249464,0.48454326,0.49951658,4.7843823e-11,0.5542421,0.3466259,0.42561054,0.36037508,0.38526338,0.5379641,0.42749375,0.5034023,0.4007681,0.5566617,0.46925616,0.5285659,0.46925616,0.37121758,0.4419788,0.2251203,0.4007681,0.47525054,0.4419788,0.47525054,0.46925616,0.4419788,3.218504e-11,7.918841e-11,0.5798553,0.5285659,0.36063376,0.4304174,0.5030996,0.4419788,0.4304174,0.39548808
0.5124201,0.32078442,0.38001582,0.42181396,0.43859372,4.0119068e-07,0.3894119,0.2435405,0.36948323,0.31752217,0.3339338,0.4716105,0.37379903,0.4408951,0.33718312,0.473335,0.39351237,0.46436992,0.39351237,0.32681644,0.39215538,0.19231702,0.33718312,0.41381264,0.39215538,0.41381264,0.39351237,0.39215538,6.2598195e-07,4.0114892e-07,0.5124201,0.46436992,0.31778085,0.37751508,0.41256472,0.39215538,0.37751508,0.3403022
0.42694628,0.26254523,0.3118966,0.34230554,0.36114886,1.9824097e-07,0.3708669,0.23194198,0.3054651,0.26382783,0.27592725,0.3812614,0.3051309,0.3576982,0.2687296,0.3844225,0.31176332,0.3813558,0.31176332,0.27053958,0.31827748,0.14283301,0.2687296,0.33378527,0.31827748,0.33378527,0.31176332,0.31827748,3.1371118e-07,5.3641994e-08,0.42694628,0.3813558,0.26434362,0.3081156,0.3497712,0.31827748,0.3081156,0.27720344
0.42222196,0.25584266,0.30464795,0.34075657,0.35779336,1.197663e-07,0.7142627,0.44670355,0.31477156,0.2604711,0.2856095,0.3612046,0.3028085,0.34479633,0.25557563,0.36251846,0.2973023,0.3734618,0.2973023,0.2687327,0.27575445,0.12671222,0.25557563,0.33171976,0.27575445,0.33171976,0.2973023,0.27575445,1.486359e-07,1.3419567e-07,0.42222196,0.3734618,0.26124564,0.2988141,0.44236854,0.27575445,0.2988141,0.27821764
0.45400548,0.2739144,0.3263936,0.37638023,0.38954496,1.1949508e-10,1.0775757,0.6739215,0.35254598,0.2808652,0.32110062,0.3778865,0.33249465,0.36748543,0.27105516,0.37669206,0.31732452,0.4013142,0.31732452,0.2898997,0.2538477,0.12296378,0.27105516,0.36786032,0.2538477,0.36786032,0.31732452,0.2538477,4.5664972e-11,2.1877583e-11,0.45400548,0.4013142,0.281381,0.31930616,0.5673933,0.2538477,0.31930616,0.30588442
0.39215586,0.23494059,0.2802705,0.31933048,0.33404288,4.3670215e-10,0.65588725,0.41019532,0.29107222,0.24265924,0.26390433,0.3235292,0.28344685,0.3140987,0.22396503,0.31741858,0.2605987,0.34451643,0.2605987,0.24962951,0.22421098,0.100844055,0.22396503,0.3108114,0.22421098,0.3108114,0.2605987,0.22421098,1.1598332e-10,1.8165807e-11,0.39215586,0.34451643,0.24291795,0.27359846,0.4108786,0.22421098,0.27359846,0.25252452
0.30667946,0.18236147,0.21781102,0.23878704,0.25660032,5.4691895e-07,3.4477097e-07,8.403251e-07,0.20346998,0.18948074,0.18225592,0.25417444,0.21477872,0.24335928,0.16561171,0.24654602,0.18963729,0.26716256,0.18963729,0.19335268,0.19929929,0.074977696,0.16561171,0.2302682,0.19929929,0.2302682,0.18963729,0.19929929,2.4546677e-11,3.4477097e-07,0.30667946,0.26716256,0.18999653,0.21248333,0.17338617,0.19929929,0.21248333,0.17926255
0.3092557,0.18399996,0.2197473,0.24369092,0.26073083,2.602273e-07,3.7720195e-11,1.8654885e-07,0.20583975,0.19154552,0.18439452,0.25398597,0.21891016,0.24502748,0.1643764,0.24225211,0.18885843,0.2698933,0.18885843,0.19593368,0.1889902,0.07272899,0.1643764,0.2362045,0.1889902,0.2362045,0.18885843,0.1889902,3.4477097e-07,2.607974e-07,0.3092557,0.2698933,0.19206293,0.21415496,0.17694663,0.1889902,0.21415496,0.18024008
0.3187069,0.18985888,0.2266987,0.25530925,0.26950702,4.890105e-07,7.8731174e-11,2.854223e-07,0.21280561,0.19722572,0.19072445,0.26111037,0.22794518,0.2531477,0.16910064,0.24439907,0.19553328,0.2785326,0.19553328,0.20213012,0.18512431,0.0736652,0.16910064,0.24833964,0.18512431,0.24833964,0.19553328,0.18512431,3.4477097e-07,4.527181e-07,0.3187069,0.2785326,0.19748282,0.22098602,0.18538286,0.18512431,0.22098602,0.18597673
0.37196657,0.22352096,0.26651716,0.31003675,0.32010353,3.669538e-08,2.041639e-10,7.267853e-08,0.25153404,0.23078467,0.22569564,0.30440968,0.2738944,0.29863793,0.20848733,0.28863928,0.24436136,0.3280822,0.24436136,0.23801243,0.19156747,0.08566127,0.20848733,0.3040991,0.19156747,0.3040991,0.24436136,0.19156747,8.7327074e-08,5.342488e-11,0.37196657,0.3280822,0.23104337,0.26015443,0.22512098,0.19156747,0.26015443,0.2218697
8.6248633e-07,5.981766e-07,6.978727e-07,0.0,5.1836366e-07,1.2238624,0.40795493,1.0205472,0.06867164,5.1836366e-07,0.068671584,7.5277865e-07,0.0,6.7001963e-07,2.9183906e-07,8.6248633e-07,2.2333988e-07,8.972649e-07,2.2333988e-07,5.1836366e-07,0.0,0.0024359424,4.3775862e-07,0.0,2.9923506e-31,0.0,2.2333988e-07,0.0,1.2238624,1.2238624,8.6248633e-07,8.972649e-07,5.1836366e-07,5.836781e-07,0.44536716,0.0,4.3775862e-07,0.044064414
4.7716094e-07,1.2823939e-07,4.2117286e-08,2.5918183e-07,1.435473e-10,1.0095848,0.3193582,0.83112794,0.0559255,2.5918183e-07,0.05592543,9.12434e-10,5.8821403e-10,1.0686685e-10,2.1887931e-07,4.3124317e-07,1.1166994e-07,3.0866826e-08,1.5461049e-10,2.5918183e-07,2.047158e-11,0.0024359424,2.9187999e-07,6.807279e-10,2.1220352e-10,4.376019e-10,2.2333988e-07,2.0893791e-10,1.0095848,1.0095848,2.763911e-07,3.1639647e-08,2.5918183e-07,9.302025e-08,0.3627049,1.3108492e-10,9.207982e-08,0.035930093
5.0580745e-10,5.3282598e-08,5.1434107e-08,2.799273e-10,5.1836366e-07,1.324822,0.70877004,1.271819,0.085578896,2.1338428e-10,0.08557892,2.6515457e-07,2.6562697e-07,1.2254613e-07,2.9330357e-07,8.6248633e-07,2.0917973e-07,1.8276944e-07,2.0901616e-07,1.09181244e-07,1.2482923e-10,0.0024359424,2.9833066e-07,3.6294975e-07,3.7762657e-10,9.2613965e-11,2.2333988e-07,2.289389e-10,1.324822,1.324822,2.6682664e-10,1.7838256e-07,7.455093e-08,9.720073e-08,0.55502236,2.2026349e-10,9.6277525e-08,0.05485419
4.43592e-11,5.330396e-08,5.403305e-08,1.6761521e-10,1.3717322e-07,1.6620374,1.1428219,1.7541736,0.11803581,5.1836366e-07,0.118035756,1.1076927e-09,2.2643289e-07,3.1481187e-09,8.5008615e-08,3.2076144e-07,4.3038196e-07,3.806756e-08,3.6141572e-07,2.5786633e-07,1.9480755e-10,0.0024359424,7.589005e-08,5.886212e-10,2.7255603e-10,6.6104414e-11,4.4667976e-07,3.3994385e-12,1.6620374,1.6620374,2.1411566e-10,3.9807578e-08,2.279523e-08,1.5476823e-08,0.765522,2.6395636e-10,1.5904208e-08,0.075567365
1.2679471e-10,2.8745555e-08,2.8477602e-08,1.1786226e-26,4.4019355e-08,0.8035476,0.29669467,0.6880973,0.046301145,2.5918183e-07,0.046301108,9.663708e-09,1.6945171e-07,3.17426e-08,1.4591953e-07,1.0166708e-10,2.2333988e-07,2.7562923e-08,7.7695425e-08,2.5918183e-07,2.8182976e-07,0.0029994678,1.596081e-07,2.163742e-07,3.390754e-07,2.5918183e-07,1.1166994e-07,3.3924218e-07,0.8035476,0.8035476,9.643749e-11,2.5505988e-08,1.7568517e-08,1.9814726e-08,0.30028626,3.3936402e-07,1.9820359e-08,0.029843396
3.3738417e-07,4.984805e-08,7.89124e-09,2.6607103e-10,1.8217456e-08,0.77950823,0.29738173,0.67349267,0.045318365,2.5918183e-07,0.04531832,3.2701888e-07,6.1417104e-08,1.867389e-07,7.2959764e-08,2.1516794e-11,6.415999e-08,1.8907844e-08,7.65029e-08,2.6256278e-10,2.5489967e-07,0.0029994678,1.0014407e-07,1.386358e-07,3.315915e-07,8.2185906e-08,1.1166994e-07,2.4136793e-07,0.77950823,0.77950823,4.3124317e-07,1.0585859e-08,1.6385643e-09,6.6207285e-08,0.29391244,3.159168e-07,9.0721656e-08,0.029216278
1.5865369e-07,6.220543e-08,6.9828104e-08,5.6311202e-11,1.889128e-10,3.4477097e-07,3.4477097e-07,4.3124317e-07,5.8035415e-08,0.0,5.152139e-08,1.8819466e-07,9.100041e-08,5.583497e-08,6.1876634e-08,1.0416577e-10,5.309896e-08,6.2393525e-08,5.3618518e-08,1.2959092e-07,1.43401e-07,0.0029994678,5.8724154e-08,1.0257689e-07,5.540483e-08,6.159542e-08,1.0156322e-26,2.6470489e-11,0.0,0.0,3.55245e-11,4.4590898e-08,3.4678532e-10,4.883495e-08,1.4333843e-07,4.5774853e-11,5.5849938e-08,0.00029519122
2.6029832e-07,3.23718e-08,6.192474e-08,0.0,8.690806e-11,3.8339505e-07,2.488626e-11,2.3993894e-07,6.4410884e-08,0.0,4.857122e-08,5.4756544e-08,3.0730474e-10,3.30782e-08,4.3468678e-08,4.7920758e-11,3.4322436e-08,6.005774e-08,3.3473395e-08,2.6390595e-10,1.534625e-10,0.0029994678,3.488508e-08,6.027369e-10,1.2403426e-07,2.677895e-10,5.583497e-08,0.0,3.4477097e-07,3.4477097e-07,2.1562158e-07,5.9489118e-08,6.421269e-08,4.854447e-08,9.445524e-08,1.7881003e-07,4.9046335e-08,0.00029519774
8.311461e-11,5.8559472e-08,5.819896e-08,0.0,0.0,2.5024248e-11,1.9289881e-07,1.9599459e-07,4.9350376e-08,0.0,3.7599303e-08,1.7800531e-07,5.941773e-08,7.505046e-08,9.863132e-09,2.2045619e-11,1.4395403e-09,6.163868e-08,1.0987302e-09,9.0423036e-08,7.059939e-11,0.0029994678,1.3749068e-08,1.3609217e-07,1.8579422e-07,6.2719586e-08,2.9519936e-10,2.1562158e-07,6.73324e-12,5.301115e-11,1.7516552e-10,6.186702e-08,3.2305547e-10,4.854373e-08,1.4777692e-08,1.858717e-07,4.8649483e-08,0.0002951847
